iter	Passed	Remaining
0	38	38652
1	78	39207
2	121	40309
3	163	40591
4	207	41215
5	247	40923
6	289	41101
7	329	40864
8	374	41217
9	416	41241
10	457	41108
11	499	41126
12	540	41025
13	581	40968
14	621	40808
15	663	40829
16	707	40932
17	748	40851
18	791	40843
19	834	40902
20	877	40925
21	920	40923
22	961	40850
23	1002	40758
24	1042	40665
25	1083	40586
26	1127	40616
27	1170	40643
28	1213	40623
29	1254	40565
30	1297	40552
31	1340	40541
32	1381	40493
33	1422	40402
34	1465	40416
35	1508	40384
36	1552	40400
37	1592	40325
38	1634	40266
39	1675	40214
40	1717	40180
41	1758	40119
42	1800	40074
43	1845	40097
44	1888	40076
45	1931	40056
46	1974	40026
47	2019	40049
48	2061	40016
49	2103	39968
50	2145	39932
51	2189	39908
52	2230	39859
53	2270	39783
54	2316	39794
55	2360	39786
56	2403	39761
57	2446	39728
58	2489	39707
59	2531	39659
60	2572	39607
61	2616	39581
62	2657	39522
63	2699	39480
64	2745	39486
65	2790	39484
66	2833	39450
67	2876	39427
68	2919	39396
69	2962	39362
70	3004	39310
71	3047	39275
72	3092	39273
73	3135	39238
74	3176	39176
75	3220	39160
76	3262	39105
77	3303	39046
78	3345	38999
79	3388	38969
80	3434	38963
81	3476	38924
82	3520	38899
83	3566	38895
84	3618	38956
85	3670	39007
86	3724	39090
87	3771	39087
88	3815	39056
89	3858	39014
90	3903	38996
91	3945	38941
92	3988	38897
93	4030	38847
94	4071	38782
95	4112	38725
96	4155	38681
97	4196	38622
98	4239	38586
99	4281	38536
100	4325	38503
101	4367	38454
102	4411	38416
103	4452	38358
104	4498	38343
105	4540	38292
106	4581	38233
107	4625	38200
108	4671	38183
109	4714	38146
110	4758	38111
111	4803	38086
112	4845	38035
113	4888	37991
114	4929	37939
115	4970	37879
116	5014	37841
117	5057	37799
118	5096	37734
119	5141	37704
120	5183	37655
121	5226	37610
122	5267	37557
123	5313	37535
124	5355	37488
125	5398	37444
126	5439	37389
127	5481	37339
128	5526	37313
129	5571	37289
130	5614	37241
131	5656	37192
132	5700	37163
133	5743	37115
134	5787	37080
135	5832	37052
136	5874	37003
137	5916	36957
138	5961	36930
139	6004	36886
140	6046	36834
141	6087	36784
142	6130	36741
143	6171	36684
144	6213	36638
145	6255	36588
146	6297	36545
147	6339	36495
148	6381	36446
149	6422	36396
150	6463	36343
151	6507	36305
152	6551	36269
153	6595	36230
154	6636	36179
155	6679	36136
156	6723	36102
157	6766	36059
158	6809	36017
159	6852	35976
160	6896	35937
161	6937	35888
162	6979	35837
163	7018	35778
164	7064	35750
165	7109	35718
166	7151	35669
167	7193	35622
168	7237	35590
169	7282	35557
170	7324	35508
171	7366	35463
172	7408	35416
173	7454	35386
174	7495	35335
175	7540	35301
176	7582	35256
177	7623	35206
178	7667	35165
179	7708	35118
180	7752	35080
181	7794	35032
182	7838	34995
183	7880	34947
184	7922	34903
185	7966	34864
186	8008	34818
187	8052	34779
188	8095	34737
189	8137	34692
190	8181	34652
191	8223	34608
192	8265	34559
193	8306	34509
194	8347	34458
195	8389	34412
196	8431	34369
197	8474	34325
198	8516	34278
199	8557	34229
200	8599	34182
201	8641	34137
202	8684	34096
203	8728	34060
204	8768	34004
205	8811	33963
206	8852	33913
207	8894	33869
208	8937	33826
209	8981	33786
210	9021	33734
211	9061	33681
212	9104	33638
213	9143	33582
214	9187	33546
215	9231	33508
216	9273	33460
217	9316	33418
218	9359	33377
219	9403	33338
220	9449	33308
221	9490	33259
222	9536	33226
223	9578	33182
224	9622	33142
225	9663	33096
226	9708	33059
227	9751	33018
228	9793	32973
229	9832	32917
230	9874	32872
231	9916	32826
232	9960	32789
233	10003	32746
234	10048	32712
235	10091	32668
236	10132	32621
237	10176	32581
238	10219	32538
239	10263	32500
240	10305	32456
241	10348	32413
242	10388	32363
243	10432	32324
244	10475	32282
245	10517	32237
246	10560	32194
247	10602	32149
248	10646	32110
249	10688	32065
250	10732	32025
251	10774	31980
252	10817	31938
253	10858	31892
254	10901	31848
255	10941	31799
256	10979	31742
257	11022	31699
258	11067	31664
259	11110	31622
260	11150	31573
261	11190	31521
262	11231	31474
263	11274	31431
264	11317	31390
265	11359	31346
266	11401	31300
267	11443	31255
268	11484	31209
269	11528	31169
270	11572	31130
271	11611	31078
272	11651	31027
273	11694	30986
274	11736	30942
275	11780	30903
276	11819	30851
277	11860	30802
278	11898	30748
279	11941	30705
280	11979	30650
281	12022	30609
282	12062	30560
283	12102	30511
284	12146	30472
285	12188	30429
286	12229	30383
287	12272	30340
288	12313	30293
289	12357	30254
290	12400	30211
291	12441	30166
292	12479	30112
293	12519	30064
294	12560	30017
295	12603	29976
296	12645	29932
297	12688	29890
298	12730	29846
299	12774	29806
300	12816	29762
301	12853	29708
302	12898	29671
303	12940	29627
304	12980	29579
305	13020	29529
306	13065	29492
307	13107	29449
308	13148	29402
309	13185	29347
310	13225	29301
311	13270	29263
312	13312	29218
313	13352	29171
314	13394	29127
315	13436	29085
316	13478	29040
317	13522	29001
318	13561	28951
319	13602	28905
320	13643	28858
321	13683	28810
322	13726	28770
323	13767	28724
324	13807	28677
325	13848	28631
326	13890	28588
327	13929	28538
328	13971	28494
329	14013	28450
330	14055	28408
331	14094	28359
332	14137	28316
333	14182	28279
334	14222	28233
335	14263	28187
336	14304	28141
337	14345	28097
338	14387	28053
339	14429	28010
340	14469	27963
341	14513	27922
342	14554	27877
343	14594	27831
344	14636	27788
345	14676	27741
346	14713	27689
347	14754	27644
348	14797	27602
349	14838	27557
350	14881	27516
351	14921	27469
352	14963	27425
353	15006	27384
354	15046	27337
355	15087	27293
356	15128	27249
357	15170	27205
358	15210	27158
359	15252	27115
360	15294	27072
361	15336	27028
362	15378	26987
363	15419	26941
364	15461	26899
365	15502	26853
366	15546	26815
367	15588	26771
368	15630	26728
369	15670	26682
370	15711	26637
371	15751	26591
372	15791	26545
373	15833	26502
374	15875	26459
375	15916	26414
376	15960	26374
377	16005	26336
378	16045	26291
379	16085	26244
380	16129	26204
381	16171	26162
382	16213	26119
383	16254	26075
384	16295	26030
385	16334	25982
386	16376	25939
387	16417	25895
388	16459	25853
389	16500	25808
390	16544	25768
391	16586	25725
392	16626	25679
393	16667	25635
394	16707	25590
395	16752	25551
396	16791	25504
397	16831	25459
398	16875	25419
399	16918	25377
400	16958	25331
401	16999	25287
402	17040	25243
403	17080	25198
404	17122	25155
405	17161	25107
406	17203	25064
407	17242	25019
408	17283	24974
409	17326	24932
410	17366	24888
411	17405	24841
412	17446	24797
413	17489	24755
414	17529	24710
415	17570	24666
416	17612	24623
417	17656	24584
418	17696	24539
419	17738	24496
420	17779	24452
421	17824	24413
422	17866	24371
423	17908	24328
424	17949	24284
