iter	Passed	Remaining
0	50	50725
1	94	46944
2	153	50967
3	208	51816
4	256	51045
5	318	52759
6	370	52611
7	436	54092
8	521	57428
9	582	57646
10	627	56455
11	690	56827
12	747	56742
13	796	56110
14	867	56976
15	932	57346
16	993	57432
17	1052	57410
18	1106	57110
19	1172	57455
20	1229	57312
21	1315	58462
22	1382	58735
23	1451	59038
24	1508	58850
25	1586	59431
26	1645	59316
27	1707	59266
28	1779	59594
29	1840	59520
30	1891	59121
31	1948	58939
32	2017	59110
33	2068	58769
34	2126	58631
35	2188	58613
36	2241	58336
37	2300	58251
38	2366	58317
39	2428	58294
40	2486	58170
41	2542	57990
42	2615	58210
43	2672	58070
44	2725	57837
45	2784	57738
46	2845	57699
47	2903	57582
48	2954	57346
49	3017	57334
50	3079	57296
51	3147	57378
52	3219	57520
53	3286	57572
54	3333	57284
55	3386	57089
56	3445	57005
57	3521	57199
58	3570	56950
59	3631	56900
60	3700	56960
61	3773	57088
62	3839	57108
63	3899	57024
64	3956	56907
65	4040	57177
66	4110	57243
67	4179	57290
68	4237	57173
69	4308	57240
70	4371	57193
71	4432	57130
72	4490	57028
73	4541	56826
74	4588	56592
75	4658	56640
76	4718	56564
77	4781	56515
78	4847	56507
79	4911	56481
80	4973	56426
81	5032	56343
82	5068	55993
83	5123	55870
84	5187	55839
85	5288	56210
86	5361	56266
87	5432	56297
88	5510	56405
89	5567	56295
90	5620	56141
91	5690	56158
92	5757	56151
93	5808	55983
94	5863	55859
95	5923	55779
96	5982	55695
97	6069	55862
98	6126	55757
99	6192	55728
100	6249	55627
101	6317	55614
102	6384	55604
103	6440	55489
104	6492	55344
105	6537	55138
106	6587	54981
107	6650	54930
108	6707	54827
109	6767	54756
110	6829	54699
111	6899	54704
112	6950	54557
113	7010	54481
114	7076	54458
115	7139	54407
116	7193	54288
117	7256	54242
118	7308	54107
119	7363	53998
120	7423	53926
121	7471	53773
122	7526	53661
123	7589	53616
124	7643	53501
125	7695	53379
126	7753	53294
127	7805	53172
128	7858	53059
129	7930	53071
130	7975	52907
131	8065	53036
132	8120	52933
133	8186	52908
134	8253	52886
135	8310	52795
136	8355	52636
137	8406	52509
138	8462	52421
139	8518	52330
140	8597	52378
141	8641	52214
142	8691	52090
143	8749	52010
144	8803	51912
145	8888	51992
146	8939	51876
147	8995	51782
148	9063	51767
149	9100	51572
150	9181	51623
151	9242	51561
152	9290	51429
153	9335	51282
154	9396	51228
155	9453	51146
156	9503	51028
157	9552	50904
158	9603	50796
159	9667	50752
160	9727	50691
161	9779	50588
162	9829	50473
163	9888	50409
164	9973	50469
165	10033	50407
166	10098	50370
167	10163	50331
168	10230	50303
169	10299	50285
170	10359	50224
171	10417	50147
172	10471	50057
173	10539	50031
174	10597	49961
175	10648	49854
176	10694	49727
177	10743	49611
178	10791	49495
179	10846	49410
180	10897	49308
181	10951	49222
182	11022	49211
183	11097	49213
184	11166	49193
185	11225	49127
186	11277	49028
187	11336	48962
188	11392	48883
189	11446	48799
190	11498	48702
191	11563	48661
192	11620	48591
193	11673	48497
194	11738	48459
195	11788	48358
196	11849	48301
197	11922	48290
198	11975	48201
199	12027	48111
200	12077	48011
201	12142	47968
202	12201	47905
203	12254	47817
204	12320	47778
205	12381	47722
206	12442	47664
207	12501	47602
208	12561	47542
209	12623	47489
210	12686	47438
211	12741	47359
212	12781	47226
213	12836	47146
214	12900	47102
215	12971	47083
216	13031	47022
217	13090	46958
218	13144	46877
219	13201	46805
220	13270	46776
221	13333	46726
222	13392	46663
223	13458	46622
224	13514	46550
225	13571	46478
226	13627	46405
227	13691	46357
228	13763	46340
229	13824	46281
230	13885	46225
231	13948	46175
232	14002	46093
233	14066	46046
234	14115	45949
235	14172	45878
236	14231	45818
237	14302	45792
238	14364	45737
239	14421	45669
240	14487	45625
241	14546	45562
242	14609	45512
243	14693	45525
244	14752	45460
245	14835	45472
246	14906	45444
247	14981	45427
248	15041	45367
249	15097	45291
250	15157	45232
251	15209	45145
252	15263	45067
253	15315	44982
254	15400	44993
255	15449	44899
256	15499	44810
257	15581	44812
258	15636	44736
259	15699	44682
260	15769	44649
261	15814	44547
262	15865	44459
263	15944	44451
264	16005	44391
265	16055	44304
266	16112	44232
267	16165	44154
268	16214	44062
269	16266	43979
270	16326	43920
271	16387	43860
272	16450	43808
273	16510	43746
274	16567	43678
275	16628	43618
276	16684	43549
277	16746	43493
278	16806	43432
279	16853	43336
280	16900	43242
281	16966	43198
282	17031	43149
283	17099	43110
284	17160	43051
285	17240	43041
286	17284	42939
287	17338	42864
288	17402	42812
289	17450	42723
290	17509	42660
291	17566	42592
292	17607	42487
293	17664	42418
294	17724	42359
295	17776	42279
296	17843	42234
297	17924	42224
298	17973	42138
299	18041	42096
300	18107	42051
301	18167	41990
302	18224	41921
303	18295	41886
304	18356	41827
305	18422	41782
306	18483	41723
307	18528	41628
308	18576	41541
309	18617	41438
310	18667	41356
311	18713	41264
312	18769	41196
313	18824	41125
314	18895	41090
315	18947	41012
316	19002	40943
317	19062	40882
318	19124	40827
319	19187	40773
320	19236	40690
321	19278	40593
322	19337	40530
323	19393	40463
324	19458	40412
325	19518	40354
326	19568	40273
327	19628	40214
328	19703	40186
329	19756	40111
330	19806	40032
331	19861	39961
332	19918	39897
333	19981	39843
334	20020	39742
335	20069	39662
336	20114	39572
337	20174	39513
338	20234	39454
339	20292	39391
340	20346	39321
341	20397	39243
342	20451	39173
343	20511	39115
344	20569	39051
345	20624	38984
346	20676	38910
347	20745	38867
348	20815	38827
349	20867	38753
350	20915	38673
351	20972	38609
352	21040	38564
353	21087	38480
354	21146	38421
355	21209	38366
356	21260	38291
357	21312	38220
358	21379	38173
359	21440	38117
360	21500	38058
361	21559	37997
362	21614	37930
363	21675	37872
364	21724	37795
365	21772	37715
366	21824	37643
367	21882	37580
368	21938	37514
369	21994	37450
370	22069	37417
371	22148	37391
372	22221	37353
373	22279	37291
374	22348	37246
375	22400	37174
376	22451	37102
377	22512	37044
378	22572	36985
379	22621	36908
380	22674	36838
381	22718	36754
382	22771	36683
383	22826	36617
384	22872	36537
385	22918	36455
386	22977	36395
387	23043	36346
388	23102	36286
389	23156	36219
390	23215	36159
391	23284	36114
392	23343	36054
393	23413	36011
394	23487	35974
395	23539	35903
396	23584	35823
397	23640	35757
398	23687	35679
399	23758	35637
400	23819	35581
401	23878	35521
402	23940	35465
403	24034	35457
404	24078	35373
405	24134	35309
406	24199	35259
